Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
86,SF,"Jauan Jennings",WR,17,9.02,14,1.1%,14%,133.6,154,157,220,21
87,PIT,"Kaleb Johnson",RB,17,6.11,5,-1.3%,0%,115.1,158,158,231.7,20.4
88,BUF,"Khalil Shakir",WR,17,9.12,7,1.1%,30%,142.6,147,168,189.5,20.3
89,TB,"Emeka Egbuka",WR,17,9.05,9,0.7%,0%,131.9,133,153,233,20.2
90,NE,"Stefon Diggs",WR,17,8.01,14,1.1%,32%,131.1,146,160,211,20
91,GB,"Matthew Golden",WR,17,9.03,5,-0.7%,0%,126.4,149,149,229.1,19.5
92,HOU,"Joe Mixon",RB,14,6.07,6,2.3%,68%,97.2,149,165,222.5,19.3
93,NYG,"Tyrone Tracy Jr.",RB,17,7.06,14,-4.6%,0%,112.5,152,168,201.6,19.1
94,GB,"Tucker Kraft",TE,17,9.07,5,-4.1%,26%,112.7,125,136,160.3,18.5
95,DET,"Aidan Hutchinson",DL,17,,8,-5.4%,0%,83.3,95,99,124,18.2
96,BUF,"Dalton Kincaid",TE,17,10.10,7,4.6%,52%,106.2,113,134,173.5,18.1
97,BUF,"Keon Coleman",WR,17,12.02,7,1.1%,38%,123.1,142,152,218.9,18.1
98,PIT,"Jaylen Warren",RB,17,7.09,5,-1.3%,49%,123.5,150,163,190.2,18
99,LAC,"Daiyan Henley",LB,17,,12,11.4%,0%,110.9,83,139,173.3,18
100,CHI,"Kevin Byard",DB,17,,5,-1.5%,0%,90.9,115,126,151.6,18
101,KC,"Patrick Mahomes",QB,17,5.03,10,1.1%,11%,287.8,319,331,363.9,17.9
102,IND,"Tyler Warren",TE,17,9.10,11,0.4%,0%,99,122,130,178.4,17.9
103,MIN,"Jordan Mason",RB,17,8.08,6,-3.5%,14%,127.4,126,150,223.4,17.5
104,BAL,"Kyle Hamilton",DB,17,,7,4.4%,75%,95.7,119,120,155.6,17.4
105,PHI,"Zack Baun",LB,17,,9,-6.1%,0%,109.3,84,137,175,17.4
106,HOU,"Will Anderson Jr.",DL,17,,6,-3.4%,0%,78.1,88,98,123,17.2
107,IND,"Josh Downs",WR,17,10.08,11,-0.9%,58%,132.4,140,152,205.5,17.1
108,IND,"Nick Cross",DB,17,,11,9.6%,0%,99,67,118,153.2,16.6
109,PHI,"Dallas Goedert",TE,17,11.08,9,-4.5%,76%,111.7,118,130,157.2,16.3
110,LAC,"Derwin James",DB,17,,12,11.4%,66%,88.2,131,116,162.6,16.3
111,DEN,"Evan Engram",TE,17,7.10,12,1.9%,33%,103.8,118,128,161.5,15.8
112,GB,"Edgerrin Cooper",LB,17,,5,-4.4%,0%,107.2,70,134,174.1,15.7
113,DAL,"Jake Ferguson",TE,17,10.12,10,-6.4%,41%,104.7,119,134,146.4,15.6
114,IND,"Michael Pittman Jr.",WR,17,11.04,11,-0.9%,70%,131.6,147,145,196.7,15.3
115,ATL,"Darnell Mooney",WR,17,13.03,5,1.4%,85%,131.9,136,150,191.9,15
116,NO,"Rashid Shaheed",WR,17,13.06,11,-1%,66%,129.4,138,145,196.3,14.3
117,MIN,"Andrew Van Ginkel",DL,17,,6,-3.3%,0%,73.1,74,97,113,14.3
118,TB,"Chris Godwin",WR,13,8.04,9,0.7%,74%,103,161,147,191.3,13.6
119,DEN,"J.K. Dobbins",RB,17,9.08,12,-3%,24%,106.8,134,142,195.2,13.3
120,CLE,"Quinshon Judkins",RB,17,8.07,9,0.1%,0%,75.3,137,145,212.8,13.3
121,CHI,"Colston Loveland",TE,17,10.06,5,-1%,0%,92.6,104,116,178.3,13.3
122,CHI,"Jaquan Brisker",DB,17,,5,-1.5%,0%,79.6,115,114,153.6,13.2
123,JAC,"Travis Etienne",RB,17,8.06,8,0.6%,40%,103.7,125,144,193,13
124,CLE,"Myles Garrett",DL,17,,9,-7.3%,0%,73.8,103,90,117.1,12.7
125,LVR,"Maxx Crosby",DL,17,,8,10.4%,0%,69.7,118,89,120.7,12.4
126,NE,"Robert Spillane",LB,17,,14,6.7%,0%,100.9,132,134,161.4,12.4
127,DEN,"Bo Nix",QB,17,7.02,12,1.6%,21%,276.8,307,322,350.8,12.3
128,TB,"Baker Mayfield",QB,17,6.09,9,1.3%,27%,276.2,316,314,354.6,11.9
129,ARI,"Kyler Murray",QB,17,8.02,8,6.7%,33%,279.6,307,314,358.2,11.8
130,NYJ,"Justin Fields",QB,17,9.04,9,3.2%,87%,263.1,305,317,364.5,11.8
131,LAR,"Jared Verse",DL,17,,8,-0.6%,0%,75.5,91,88,114.2,11.8
132,CAR,"Derrick Brown",DL,17,,14,0.7%,0%,69.9,90,93,108.1,11.7
133,DEN,"Brandon Jones",DB,17,,12,7.7%,36%,82.9,118,109,152.8,11.6
