Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
826,David Bell,CLE,WR,,170,0.01,0,,,,,,,,,,,,,,,
827,Danny Gray,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
828,Erik Ezukanma,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
829,Pierre Strong Jr.,0,RB,,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
830,Keaontay Ingram,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
831,Teagan Quitoriano,0,TE,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
832,John FitzPatrick,0,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
833,Michael Woods II,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
834,Jerome Ford,0,RB,0,169.98,0.08,0.01,QUESTIONABLE,,,,,,,,,,,,,,
835,Bailey Zappe,0,QB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
836,Nick Muse,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
837,James Mitchell,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
838,Montrell Washington,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
839,Samori Toure,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
840,Chris Oladokun,KC,QB,,169.99,0.01,0,INJURY_RESERVE,,,,,,,,,,,,,,
841,Brandon Smith,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
842,Justyn Ross,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
843,Deven Thompkins,0,WR,0,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
844,DJ Turner,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
845,Tim Jones,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
846,Peyton Hendershot,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
847,Jalen Virgil,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
848,Tanner Conner,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
849,Shane Buechele,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
850,Kendric Pryor,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
851,Raheem Blackshear,0,RB,,169.99,0.02,0.01,QUESTIONABLE,,,,,,,,,,,,,,
852,Troy Hairston,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
853,Britain Covey,0,WR,0,169.99,0.03,0,ACTIVE,,,,,,,,,,,,,,
854,Andre Baccellia,0,WR,0,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
855,Austin Trammell,0,WR,0,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
856,Anthony Brown Jr.,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
857,Lucas Krull,0,TE,0,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
858,Dennis Houston,TB,WR,,169.99,0.01,0,INJURY_RESERVE,,,,,,,,,,,,,,
859,Brandon Johnson,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
860,Stone Smartt,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
861,Maurice Alexander,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
862,Deuce Vaughn,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
863,Jake Moody,0,K,0,169.94,0.29,0.14,ACTIVE,,,,,,,,,,,,,,
864,Zach Evans,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
865,Will Levis,0,QB,,169.98,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
866,Hendon Hooker,0,QB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
867,Anders Carlson,0,K,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
868,Jalin Hyatt,0,WR,,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
869,Cedric Tillman,0,WR,0,169.99,0.08,0.01,QUESTIONABLE,,,,,,,,,,,,,,
870,Cameron Latu,NE,TE,,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
871,Christopher Dunn,0,K,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
872,Sean Clifford,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
873,Charlie Jones,0,WR,0,169.99,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
874,Evan Hull,0,RB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
875,Israel Abanikanda,0,RB,,169.96,0.11,0.02,ACTIVE,,,,,,,,,,,,,,
876,Eric Gray,0,RB,,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
877,Lew Nichols,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
878,Grant DuBose,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
879,Tyler Scott,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
880,Zack Kuntz,0,TE,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
881,Kenny McIntosh,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
882,Jake Haener,0,QB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
883,Dorian Thompson-Robinson,0,QB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
884,Ronnie Bell,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
885,Antoine Green,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
886,Jaren Hall,0,QB,,169.98,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
887,Trey Palmer,0,WR,0,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
888,Clayton Tune,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
889,Max Duggan,0,QB,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
890,DeWayne McBride,0,RB,,169.92,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
891,A.T. Perry,0,WR,0,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
892,Colton Dowell,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
893,Tanner Brown,0,K,0,169.98,0.05,0.03,ACTIVE,,,,,,,,,,,,,,
894,Deneric Prince,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
895,Jason Brownlee,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
896,Mohamed Ibrahim,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
