Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
1,Jahmyr Gibbs,DET,RB,364.98,1.35,99.93,99.77,ACTIVE,,,,,1375.88,14.39,275,546.41,3.38,67.9,1.26,,,
2,Bijan Robinson,ATL,RB,352.8,2.39,99.9,99.7,ACTIVE,,,,,1372.36,8.43,274,707.69,3.38,75.78,1.6,,,
3,Ja'Marr Chase,CIN,WR,337.39,4.3,99.91,99.28,QUESTIONABLE,,,,,20.88,0.14,4,1509.69,10.77,119.66,0.94,,,
4,Puka Nacua,LAR,WR,353.58,5.28,99.9,99.04,QUESTIONABLE,,,,,90.51,1.01,18,1585.88,9.72,123.08,0.94,,,
5,Jonathan Taylor,IND,RB,316.29,6.43,99.88,99.44,ACTIVE,,,,,1502.34,11.55,300,389.74,1.47,50.45,1.46,,,
6,Jaxon Smith-Njigba,SEA,WR,326.66,6.15,99.91,99.66,ACTIVE,,,,,25.17,0.17,5,1568.73,8.54,116.69,1.16,,,
7,Christian McCaffrey,SF,RB,341.77,7.66,99.89,98.96,QUESTIONABLE,,,,,1129.74,9.13,225,677.94,4.72,78.8,1.2,,,
8,Amon-Ra St. Brown,DET,WR,324.37,8.34,99.91,99.65,ACTIVE,,,,,13.47,0.12,2,1426.15,10.42,118.3,0.83,,,
9,James Cook III,BUF,RB,280.26,10.56,99.88,97.62,ACTIVE,,,,,1404.21,11.03,280,302.37,1.61,35.93,1.8,,,
10,De'Von Achane,MIA,RB,293.62,12.12,99.84,99.15,ACTIVE,,,,,1310.99,5.08,262,513.11,2.88,64.62,0.96,,,
11,CeeDee Lamb,DAL,WR,293.55,11.66,99.9,99.46,ACTIVE,,,,,12.66,0.1,2,1375.17,8.56,103.48,0.66,,,
12,Justin Jefferson,MIN,WR,294.67,12.63,99.87,99.38,ACTIVE,,,,,10.66,0.1,2,1373.45,7.44,111.49,0.69,,,
13,Omarion Hampton,LAC,RB,261.7,19.85,99.42,95.62,ACTIVE,,,,,1084.44,9.39,216,363.26,1.76,51.61,1.09,,,
14,Chase Brown,CIN,RB,271.69,17.64,99.43,95.16,ACTIVE,,,,,1035.94,7.38,207,434.96,2.85,64.26,1.16,,,
15,Saquon Barkley,PHI,RB,273.29,14.2,99.84,98.71,ACTIVE,,,,,1284.1,8.67,256,370.84,2.31,43.19,1.02,,,
16,Derrick Henry,BAL,RB,277.81,16.96,99.79,97.7,ACTIVE,,,,,1504.67,13.32,300,210,1.2,21.38,1.49,,,
17,Drake London,ATL,WR,269.78,19.91,99.72,97.46,ACTIVE,,,,,,,,1249.74,7.27,102.11,0.91,,,
18,Ashton Jeanty,LV,RB,280.83,21.42,99.63,95.12,QUESTIONABLE,,,,,1127.71,7.08,225,495.75,2.02,65.22,1.22,,,
19,A.J. Brown,NE,WR,249.19,21.92,99.63,92.78,ACTIVE,,,,,,,,1216.67,7.05,85.79,0.57,,,
20,Trey McBride,ARI,TE,241.66,22.34,99.87,99.4,ACTIVE,,,,,,,,1022.85,5.33,107.76,0.47,,,
21,Jeremiyah Love,ARI,RB,278.09,25.8,99.34,93.18,QUESTIONABLE,,,,,1126.28,6.62,225,488.09,2.24,65.13,1.31,,,
22,Brock Bowers,LV,TE,240.9,24,99.86,99.49,ACTIVE,,,,,15.41,0.19,3,998.44,6.56,98.83,0.35,,,
23,Nico Collins,HOU,WR,248.22,25.95,99.63,96.02,ACTIVE,,,,,11.81,0.08,2,1196.17,6.77,86.76,0.68,,,
24,Chris Olave,NO,WR,250.17,29.84,99.15,91.42,ACTIVE,,,,,,,,1196.04,6.62,91.35,0.62,,,
25,Kenneth Walker III,KC,RB,273.06,24.82,99.47,92.28,QUESTIONABLE,,,,,1239.02,9,247,376.03,1.68,48.28,0.89,,,
26,Josh Allen,BUF,QB,370.56,19.59,99.9,97.68,ACTIVE,3949.5,26.37,2.11,11.59,580.78,12.5,116,,,,4.2,,,
27,Rashee Rice,KC,WR,259.27,28.16,99.46,94.39,ACTIVE,,,,,42.82,0.59,8,1081.62,8.69,92.48,1.11,,,
28,George Pickens,DAL,WR,238.53,28.65,99.68,93.63,ACTIVE,,,,,,,,1111.32,8.15,79.62,0.89,,,
29,Garrett Wilson,NYJ,WR,249.83,37.18,98.8,88.89,ACTIVE,,,,,10.81,0.09,2,1173.51,5.26,100.1,1.09,,,
30,Breece Hall,NYJ,RB,274.64,35.81,98.59,89.44,QUESTIONABLE,,,,,1167,7.62,233,439.81,2.73,52.14,1.39,,,
31,Javonte Williams,DAL,RB,258.96,33.56,98.72,90.03,ACTIVE,,,,,1263.24,11.05,252,217.73,1.51,36.92,1.22,,,
32,Kyren Williams,LAR,RB,232.01,36.79,98.35,86.18,ACTIVE,,,,,1070.05,10.18,214,223.12,1.64,33.45,1.09,,,
33,Malik Nabers,NYG,WR,245.02,34.56,98.96,86.03,QUESTIONABLE,,,,,23.03,0.15,4,1133.45,7.26,85.62,0.75,,,
34,Travis Etienne Jr.,NO,RB,246.85,42.38,97.65,84.59,ACTIVE,,,,,1140.8,6.15,228,389.16,2.12,45.3,0.99,,,
35,DeVonta Smith,PHI,WR,239.05,37.32,99.04,89.05,ACTIVE,,,,,,,,1129.27,6.03,90.5,0.57,,,
36,Tetairoa McMillan,CAR,WR,236.14,41.78,98.53,86.71,ACTIVE,,,,,,,,1182.31,5.91,83.29,0.8,,,
37,Zay Flowers,BAL,WR,238.46,44.06,98.42,84.62,QUESTIONABLE,,,,,57.33,0.45,11,1169.85,5.49,81.69,0.99,,,
38,Emeka Egbuka,TB,WR,228.95,45.47,97.8,81.22,QUESTIONABLE,,,,,11.88,0.1,2,1126.71,7.45,69.58,0.58,,,
39,Quinshon Judkins,CLE,RB,226.72,50.28,96.14,75.08,ACTIVE,,,,,1246.01,7.29,249,222.44,0.73,32.13,0.7,,,
40,Ladd McConkey,LAC,WR,221,46.75,97.18,79.1,ACTIVE,,,,,,,,1039.24,6.31,79.61,0.57,,,
41,Cam Skattebo,NYG,RB,227.38,45.48,98.45,83.71,ACTIVE,,,,,1011.84,6.84,202,331.61,1.47,44.62,1.13,,,
42,Colston Loveland,CHI,TE,206.95,42.87,99.51,96.76,ACTIVE,,,,,,,,900.97,5.99,80.95,0.44,,,
43,Tee Higgins,CIN,WR,219.25,51.3,96.93,74.55,ACTIVE,,,,,,,,956.59,8.41,73.23,0.44,,,
44,Davante Adams,LAR,WR,232.22,46.32,98.42,83.81,ACTIVE,,,,,,,,1013.53,10.61,67.61,0.37,,,
45,Jaylen Waddle,DEN,WR,213.07,52.76,96.29,67.58,ACTIVE,,,,,12.15,0.08,2,992.88,6.01,76.54,0.66,,,
46,D'Andre Swift,CHI,RB,210.45,54.7,94.52,66.55,ACTIVE,,,,,980.19,8.11,196,270.35,1.12,30.72,0.94,,,
47,Bhayshul Tuten,JAX,RB,205.52,63.78,92.39,52.38,ACTIVE,,,,,994.61,6.74,198,250.57,1.43,33.71,1.4,,,
48,Lamar Jackson,BAL,QB,322.5,35.39,99.77,94.48,ACTIVE,3885.58,25.97,0.85,9.73,670.77,3.68,134,,,,4.32,,,
49,Bucky Irving,TB,RB,207.1,56.92,96.01,70.21,ACTIVE,,,,,991.15,5.32,198,294.06,1.74,36.8,0.95,,,
50,David Montgomery,HOU,RB,199.68,63.7,93.57,54.46,ACTIVE,,,,,985.46,7.33,197,228.02,0.61,31.57,1.06,,,
51,Terry McLaurin,WSH,WR,218.35,61.03,95.5,63.35,ACTIVE,,,,,,,,1052.3,6.07,76.96,0.62,,,
52,DJ Moore,BUF,WR,209.74,62.27,94.6,53.87,ACTIVE,,,,,36.03,0.39,7,945.8,7,67.18,0.58,,,
53,Jadarian Price,SEA,RB,194.06,69.96,92.55,53.05,ACTIVE,,,,,922.63,7.9,184,212.34,1.25,27.05,1.01,,,
54,Jameson Williams,DET,WR,208.64,64.69,94.82,55.08,ACTIVE,,,,,45.14,0.58,9,1026.41,5.7,64.32,0.42,,,
55,Tyler Warren,IND,TE,210.58,51.93,99.02,93.79,QUESTIONABLE,,,,,14.38,0.38,2,893.1,5.55,84.56,0.61,,,
56,Rome Odunze,CHI,WR,213.55,64.86,94.32,56,ACTIVE,,,,,,,,1033.77,8.4,59.87,0.62,,,
57,Jayden Daniels,WSH,QB,317.49,52.59,98.9,82.49,ACTIVE,3846.07,22.25,1.74,9.88,669.06,5.09,133,,,,3.66,,,
58,Drake Maye,NE,QB,320.19,47.42,99.29,80.4,ACTIVE,4100.13,27.13,1.04,11.19,532.58,4.07,106,,,,5.14,,,
59,TreVeyon Henderson,NE,RB,197.83,79.65,91.87,34.08,QUESTIONABLE,,,,,838.57,6.71,167,268.96,1.45,38.74,0.69,,,
60,Luther Burden III,CHI,WR,206.83,76.19,92.02,35.49,QUESTIONABLE,,,,,48.81,0.39,9,941.47,5.05,75.76,0.68,,,
61,Carnell Tate,TEN,WR,202.24,76.94,92.85,38.97,ACTIVE,,,,,,,,1023.2,4.46,74.51,0.76,,,
62,Mike Evans,SF,WR,178.85,86.54,89.43,22.16,QUESTIONABLE,,,,,,,,883.25,5.76,56.17,0.4,,,
63,Rhamondre Stevenson,NE,RB,203.31,80.65,89.1,26.26,ACTIVE,,,,,741.94,6.79,148,350.5,2.09,42.45,1.19,,,
64,Joe Burrow,CIN,QB,304.32,54.5,97.56,86.37,ACTIVE,4130.83,32.94,1.53,10.91,188.55,2.09,37,,,,2.85,,,
65,Marvin Harrison Jr.,ARI,WR,193.62,79.9,90.85,28.83,ACTIVE,,,,,,,,953.75,5.03,68.71,0.6,,,
66,Michael Pittman Jr.,PIT,WR,197.17,90.19,89.37,23.32,QUESTIONABLE,,,,,,,,862.76,3.92,88.42,0.65,,,
67,Tony Pollard,TEN,RB,185.52,92.39,88.03,24.35,ACTIVE,,,,,1042.9,5.43,208,182.43,0.49,29.69,1.22,,,
68,DK Metcalf,PIT,WR,195.79,85.65,91.15,29.61,QUESTIONABLE,,,,,,,,944.06,6.2,64.76,0.48,,,
69,Jalen Hurts,PHI,QB,319.83,53.95,98.18,91.25,ACTIVE,3776.49,23.47,1.05,9.17,437.43,9.13,87,,,,4.07,,,
70,Harold Fannin Jr.,CLE,TE,188.87,71.37,94.56,82.56,ACTIVE,,,,,21.18,0.32,4,824.91,3.21,83.82,0.63,,,
71,Courtland Sutton,DEN,WR,204.12,81.3,91.47,33.63,ACTIVE,,,,,,,,894.29,7.59,69.17,0.48,,,
72,Kyle Pitts Sr.,ATL,TE,185.15,67.83,96.37,83.88,ACTIVE,,,,,,,,857.59,3.18,80.48,0.28,,,
73,Dak Prescott,DAL,QB,286.01,73.91,92.52,64.39,ACTIVE,4108.02,29.69,1.06,11.91,185.99,2.13,37,,,,3.57,,,
74,Jaylen Warren,PIT,RB,193.96,90.19,88.7,31.2,ACTIVE,,,,,809.18,4.57,161,319.95,1.46,46.1,0.91,,,
75,Christian Watson,GB,WR,186.14,90.78,88.11,19.04,ACTIVE,,,,,13.12,0.14,2,872.29,7.07,54.93,0.53,,,
76,Parker Washington,JAX,WR,187.24,90.84,87.49,16.75,ACTIVE,,,,,38.97,0.27,7,849.44,5.2,63.71,0.79,,,
77,Kenny Gainwell,TB,RB,177.85,104.24,83.77,11.68,ACTIVE,,,,,521.24,4.59,104,341.83,2.04,52.1,0.8,,,
78,George Kittle,SF,TE,199.63,78.02,92.05,37.78,QUESTIONABLE,,,,,,,,855.71,5.88,78.9,0.38,,,
79,MarShawn Lloyd,GB,RB,121.43,140.02,59.74,12.46,ACTIVE,,,,,551.57,4.58,110,142.99,0.92,19.84,0.6,,,
80,Wan'Dale Robinson,TEN,WR,174.86,115.48,81.29,6.28,QUESTIONABLE,,,,,22.46,0.15,4,823.34,1.93,78.81,0.56,,,
81,Sam LaPorta,DET,TE,188.86,72.77,95.45,79.89,QUESTIONABLE,,,,,,,,787.04,5.37,78.44,0.38,,,
82,Josh Jacobs,GB,RB,198.4,53.37,96.15,46.09,DAY_TO_DAY,,,,,872.7,9.37,174,215.32,1.25,27.54,1.15,,,
83,Rico Dowdle,PIT,RB,188.32,96.58,87.65,25.17,ACTIVE,,,,,992.88,5.61,198,210.71,1.08,29.24,0.96,,,
84,Michael Wilson,ARI,WR,176.37,102.01,85.51,10.85,ACTIVE,,,,,,,,860,3.38,70.54,0.43,,,
85,Jaxson Dart,NYG,QB,299.52,82.26,93.77,66.99,ACTIVE,3678.79,20.78,1.11,10.12,552.92,6.44,110,,,,3.71,,,
86,Justin Herbert,LAC,QB,283.58,89.61,90.22,53.87,ACTIVE,3849.37,25.64,0.63,11,406.46,2.35,81,,,,3.64,,,
87,Jonathon Brooks,CAR,RB,184.4,107.19,81.99,8.94,ACTIVE,,,,,851.75,4.57,170,278.69,1.4,36.63,0.97,,,
88,Stefon Diggs,WSH,WR,163.71,105.89,78.97,8.54,ACTIVE,,,,,,,,725.56,3.42,71.03,0.48,,,
89,Caleb Williams,CHI,QB,281.92,92.39,90.21,48.42,ACTIVE,3836.78,25.19,1.67,10,381.31,2.3,76,,,,4.05,,,
90,Chuba Hubbard,CAR,RB,175.84,109.13,83.68,11.53,QUESTIONABLE,,,,,731.81,3.98,146,299.74,1.4,41.09,0.85,,,
91,Travis Hunter,JAX,WR,103.56,118.96,74.24,6.29,ACTIVE,,,,,10.81,0.07,2,451.63,3.05,38.08,0.41,,,
92,Aaron Jones Sr.,MIN,RB,178,116.72,80.11,8.38,ACTIVE,,,,,654.18,3.28,130,344.75,2.09,47.27,1.02,,,
93,Alec Pierce,IND,WR,186.52,108.16,85.22,8.57,QUESTIONABLE,,,,,,,,946.39,5.29,60.28,0.5,,,
94,Jakobi Meyers,JAX,WR,181.92,122.27,79.93,5.28,QUESTIONABLE,,,,,32.01,0.29,6,765.77,5.23,69.77,0.61,,,
95,Brian Thomas Jr.,JAX,WR,176.65,112.81,83.94,8.31,QUESTIONABLE,,,,,23.16,0.16,4,859.72,5.08,57.06,0.31,,,
96,Matthew Golden,GB,WR,186.05,111.18,84.57,10.22,ACTIVE,,,,,24.9,0.18,4,876.43,4.72,66.77,0.72,,,
97,Chris Godwin Jr.,TB,WR,157.32,125.7,74.04,4.75,ACTIVE,,,,,,,,700.21,4.54,60.34,0.56,,,
98,Jordan Addison,MIN,WR,171.08,119.9,80.53,5.79,ACTIVE,,,,,14.46,0.12,2,769.01,5.23,60.92,0.45,,,
99,Trevor Lawrence,JAX,QB,289.54,97.72,88.53,47.8,ACTIVE,3945.49,25.09,1.03,13.06,335.07,4.83,67,,,,3.82,,,
100,Rachaad White,WSH,RB,164.35,126.12,74.28,3.19,QUESTIONABLE,,,,,566.63,5.05,113,266.33,1.79,40.33,0.61,,,
101,J.K. Dobbins,DEN,RB,174.77,113.16,82.78,9.63,ACTIVE,,,,,957.32,6.58,191,132.23,0.83,21.35,0.45,,,
102,Brock Purdy,SF,QB,292.04,109.06,84.79,23.13,ACTIVE,4177.73,27.01,1.38,13.89,277.06,3.5,55,,,,3.66,,,
103,Kyle Monangai,CHI,RB,175.17,124.35,77.84,5.75,QUESTIONABLE,,,,,813.15,6.44,162,215.73,1.28,25.9,0.43,,,
104,Tucker Kraft,GB,TE,171.99,90.95,90.21,60.61,QUESTIONABLE,,,,,8.47,0.15,1,779.24,4.2,67.72,0.42,,,
105,Josh Downs,IND,WR,157.65,137.23,72.01,2.42,QUESTIONABLE,,,,,10.71,0.09,2,695.64,2.7,70.13,0.56,,,
106,Khalil Shakir,BUF,WR,171.31,139.7,70.74,2.52,QUESTIONABLE,,,,,12.53,0.13,2,765.33,3.71,70.1,0.6,,,
107,Travis Kelce,KC,TE,177.19,95.22,90,51.69,ACTIVE,,,,,,,,770.4,4.49,73.8,0.51,,,
108,Patrick Mahomes,KC,QB,290.98,107.76,86.19,19.94,QUESTIONABLE,4000.68,26.39,1.17,11.67,326.98,3.22,65,,,,3.04,,,
109,RJ Harvey,DEN,RB,149.37,127.45,75.74,4.22,ACTIVE,,,,,315.54,2.86,63,366.52,2.55,48.72,0.41,,,
110,Dallas Goedert,PHI,TE,176.92,104.11,89.25,55.26,ACTIVE,,,,,,,,725.28,5.67,70.6,0.39,,,
111,Makai Lemon,PHI,WR,156.3,133.19,74.89,3.77,ACTIVE,,,,,,,,741.02,4.7,52.47,0.54,,,
112,Blake Corum,LAR,RB,159.29,127.68,75.93,3.9,ACTIVE,,,,,836.6,7.33,167,116.73,0.61,16.7,0.4,,,
113,Bo Nix,DEN,QB,295.74,99.6,89.07,36.79,ACTIVE,3874.79,26.45,1.6,11.14,355.93,3.98,71,,,,3.07,,,
114,Jake Ferguson,DAL,TE,166.55,109.04,86.29,40.25,ACTIVE,,,,,,,,597.58,5.84,72.91,0.82,,,
115,Matthew Stafford,LAR,QB,292.85,90.75,92.73,53.05,ACTIVE,4279.48,34.86,0.47,9.69,39.33,0.59,7,,,,3.5,,,
116,Kyler Murray,MIN,QB,283.39,139.77,63,10.4,ACTIVE,3777.6,22.06,1.3,11.24,502.16,3.51,100,,,,3.98,,,
117,Jacory Croskey-Merritt,WSH,RB,159.07,135.91,71.14,2.62,QUESTIONABLE,,,,,846.14,7.41,169,118.82,0.67,16.04,1.5,,,
118,Brandon Aubrey,DAL,K,171.47,85.71,99.82,98.99,ACTIVE,,,,,,,,,,,,7.03,45.91,0.94
119,Isaiah Likely,NYG,TE,155.08,123.36,80.16,24.96,ACTIVE,,,,,,,,682.12,4.08,62.98,0.52,,,
120,Quentin Johnston,LAC,WR,165.4,130.09,74.18,5.02,ACTIVE,,,,,10.83,0.09,2,777.74,5.64,52.79,0.45,,,
121,Jayden Reed,GB,WR,171.25,137.79,71.2,3.44,ACTIVE,,,,,64.96,0.45,12,732.55,4.39,63.43,0.79,,,
122,Xavier Worthy,KC,WR,172.96,129.34,75.74,4.16,ACTIVE,,,,,76.21,0.59,15,788.36,4.6,55.55,0.34,,,
123,De'Zhaun Stribling,SF,WR,158.89,141.9,55.54,1.42,QUESTIONABLE,,,,,,,,792.1,4.74,51.81,0.53,,,
124,Mark Andrews,BAL,TE,169.06,125.71,81.2,26.89,ACTIVE,,,,,34.72,0.67,6,616.55,7.08,57.93,0.5,,,
125,Romeo Doubs,NE,WR,150.65,148.27,60.66,1.72,ACTIVE,,,,,,,,667.38,5.35,52.41,0.52,,,
126,Jalen Coker,CAR,WR,147,155.89,45.52,0.9,ACTIVE,,,,,,,,687.65,2.98,61.15,0.59,,,
127,Dalton Kincaid,BUF,TE,155.57,130.86,73.67,16.77,ACTIVE,,,,,,,,697.81,4.44,59.29,0.45,,,
128,Tyler Shough,NO,QB,265.53,153.03,46.24,4.11,ACTIVE,3883.94,20.47,1.07,11.07,285.33,4.28,57,,,,3.24,,,
129,Jared Goff,DET,QB,269.14,136.04,68.23,11.94,ACTIVE,4219.35,29.17,0.64,9.97,49.66,0.68,9,,,,3.44,,,
130,Tyjae Spears,TEN,RB,154.28,146.91,50.2,1.8,ACTIVE,,,,,446.13,2.94,89,336.07,1.6,49.53,0.45,,,
131,Jordan Mason,MIN,RB,151.72,139.4,65.58,3.01,ACTIVE,,,,,901.65,6.53,180,83.53,0.34,13.47,1.16,,,
132,Deebo Samuel Sr.,SF,WR,148.31,140.96,69.62,4.35,ACTIVE,,,,,109.25,1.14,21,618.56,3.68,47.21,0.73,,,
133,KC Concepcion,CLE,WR,156.01,146.68,65.08,1.84,ACTIVE,,,,,34.9,0.2,6,738.1,3.12,58.66,0.65,,,
134,Zach Charbonnet,SEA,RB,133.99,153.2,55.84,0.55,OUT,,,,,555.25,6.86,111,145,0.44,20.31,0.32,,,
135,Woody Marks,HOU,RB,131.8,151.49,59.37,1.74,ACTIVE,,,,,613.79,3.1,122,198.69,1.35,24.23,0.68,,,
136,Jalen McMillan,TB,WR,132.85,165.08,26.94,0.36,QUESTIONABLE,,,,,24.57,0.21,4,588.22,3.86,47.25,0.42,,,
137,Jonah Coleman,DEN,RB,74.38,169.15,15.78,0.27,ACTIVE,,,,,272.07,2.11,54,126.5,0.79,17.44,0.34,,,
138,Baker Mayfield,TB,QB,264.72,145.97,55.44,9.16,ACTIVE,3823.93,24.63,2.14,11.67,323.24,1.39,64,,,,4.42,,,
139,Tank Dell,HOU,WR,0,162.65,34.67,0.37,INJURY_RESERVE,,,,,,,,,,,,,,
140,Daniel Jones,IND,QB,266.57,159.41,36.53,2.63,ACTIVE,3744.83,19.55,1.56,11.16,307,5.89,61,,,,4.53,,,
141,Texans D/ST,HOU,DST,129.2,91.11,98.96,87.19,,,,,,,,,,,,,,,
142,Cameron Dicker,LAC,K,161.89,112.05,98.93,95.92,QUESTIONABLE,,,,,,,,,,,,6.75,41.53,0.85
143,Broncos D/ST,DEN,DST,130.8,98.88,98.65,87.9,,,,,,,,,,,,,,,
144,Chris Rodriguez Jr.,JAX,RB,71.54,164.95,27.58,0.44,ACTIVE,,,,,432.65,3.42,86,29.51,0.16,4.12,0.28,,,
145,Isiah Pacheco,DET,RB,101.14,158.01,43.94,1.78,QUESTIONABLE,,,,,540.81,3.79,108,85.3,0.59,12.9,0.44,,,
146,Jason Myers,SEA,K,158.53,116.21,98.07,93.39,ACTIVE,,,,,,,,,,,,6.44,42.65,0.87
147,Alvin Kamara,NO,RB,113.5,160.31,41.83,0.87,QUESTIONABLE,,,,,450.66,2.09,90,208.13,0.85,30.78,0.57,,,
148,Ka'imi Fairbairn,HOU,K,157.77,126.08,94.21,89.51,ACTIVE,,,,,,,,,,,,7.04,31.21,0.64
149,Juwan Johnson,NO,TE,143.32,158.97,38.41,6.45,ACTIVE,,,,,,,,643.93,2.78,63.1,0.59,,,
150,Hunter Henry,NE,TE,150.3,151.45,57.91,7.86,ACTIVE,,,,,,,,629.17,5.3,55.64,0.23,,,
151,Tyler Allgeier,ARI,RB,91.12,162.81,32.56,0.7,ACTIVE,,,,,384.11,3.3,76,125.68,0.39,18.09,0.23,,,
152,Harrison Mevis,LAR,K,159.43,137.77,92.09,86.53,ACTIVE,,,,,,,,,,,,5.82,54.75,1.3
153,T.J. Hockenson,MIN,TE,158.92,148.02,65.89,11.42,ACTIVE,,,,,,,,639.71,2.85,78.16,0.34,,,
154,Kenyon Sadiq,NYJ,TE,148.16,161.15,52.19,4.91,QUESTIONABLE,,,,,,,,630.56,3.99,60.98,0.42,,,
155,Keenan Allen,IND,WR,124.19,165.63,25.28,0.51,ACTIVE,,,,,,,,538.59,2.7,54.84,0.57,,,
156,Jordan Love,GB,QB,260.34,155.68,38.2,5.17,ACTIVE,3996.32,25.18,0.8,10.71,213.16,0.99,42,,,,3.95,,,
157,Calvin Ridley,TEN,WR,135.26,168.35,24.92,0.47,ACTIVE,,,,,32.06,0.25,6,677.5,3.37,43.33,0.42,,,
158,Dylan Sampson,CLE,RB,88.16,169.1,16.43,0.36,ACTIVE,,,,,236.09,1.08,47,208.07,1.21,29.84,0.38,,,
159,Brian Robinson Jr.,ATL,RB,93.97,167.57,25.36,0.9,ACTIVE,,,,,560.43,3.68,112,59.12,0.29,8.75,0.49,,,
160,Brenton Strange,JAX,TE,142.56,167.55,23.61,2.94,ACTIVE,,,,,,,,599.01,4.01,59.04,0.39,,,
161,Jaylin Noel,HOU,WR,131.63,171.84,8.29,0.16,QUESTIONABLE,,,,,22.17,0.12,4,578,3.2,50.52,0.55,,,
162,Terrance Ferguson,LAR,TE,135.73,168.34,24.09,2.58,QUESTIONABLE,,,,,,,,578.54,5.39,46,0.32,,,
163,Rashid Shaheed,SEA,WR,144.46,159.99,43.3,2.32,ACTIVE,,,,,86.74,0.51,17,646.42,3.5,42.83,0.61,,,
164,Denzel Boston,CLE,WR,142.27,168.79,24.36,0.46,ACTIVE,,,,,,,,693.26,2.95,55.4,0.57,,,
165,Jerry Jeudy,CLE,WR,139.82,168.28,28.25,0.66,ACTIVE,,,,,,,,720.75,2.72,51.91,0.46,,,
166,Adonai Mitchell,NYJ,WR,127.66,171.05,14.88,0.28,ACTIVE,,,,,11.2,0.11,2,621.62,3.64,41.9,0.49,,,
167,Caleb Douglas,MIA,WR,113.48,170.66,14.13,0.23,ACTIVE,,,,,,,,581.42,2.09,43.47,0.44,,,
168,Malik Willis,MIA,QB,239.8,167.53,19.9,1.76,ACTIVE,3563.07,13.31,0.7,10.44,547.02,3.44,109,,,,6.21,,,
169,Jordyn Tyson,NO,WR,99.79,168.1,42.57,1.28,INJURY_RESERVE,,,,,,,,484.23,2.7,35.57,0.36,,,
170,Tre Tucker,LV,WR,137.96,169.12,24.07,0.94,ACTIVE,,,,,57.29,0.32,11,658.19,2.52,48.4,0.29,,,
171,Jalen Nailor,LV,WR,124.22,171.07,12.87,0.34,ACTIVE,,,,,11,0.08,2,607.31,3.01,44.33,0.44,,,
172,Keaton Mitchell,LAC,RB,93.88,169.37,19.51,0.34,QUESTIONABLE,,,,,392.55,2.42,78,156.93,0.78,20.04,0.46,,,
173,Mike Washington Jr.,LV,RB,65.16,164.24,36.48,1,ACTIVE,,,,,362.22,2.23,72,59.97,0.27,8.38,0.39,,,
174,Braelon Allen,NYJ,RB,76.85,170.98,11.36,0.23,ACTIVE,,,,,348.83,2.93,69,90.37,0.43,12.72,0.37,,,
175,Rashod Bateman,BAL,WR,122.33,171.4,9.01,0.28,ACTIVE,,,,,,,,613.36,3.95,37.66,0.31,,,
176,Dontayvion Wicks,PHI,WR,108.12,170.97,9.01,0.23,ACTIVE,,,,,,,,517.46,2.91,39.49,0.44,,,
177,Devaughn Vele,NO,WR,123.61,171.65,8.37,0.43,ACTIVE,,,,,,,,543.47,3.36,49.55,0.4,,,
178,Tank Bigsby,PHI,RB,64.08,169.72,18.13,0.47,ACTIVE,,,,,372.42,3.35,74,28.64,0.14,3.63,0.42,,,
179,Ray Davis,BUF,RB,38.2,171.04,10.09,0.33,ACTIVE,,,,,138.25,1.07,27,60.03,0.39,7.75,0.19,,,
180,Steelers D/ST,PIT,DST,123.07,121.17,96.09,90.29,,,,,,,,,,,,,,,
181,Seahawks D/ST,SEA,DST,122.25,111.75,97.97,91.14,,,,,,,,,,,,,,,
182,Rams D/ST,LAR,DST,124.41,105.65,96.72,87.9,,,,,,,,,,,,,,,
183,Ravens D/ST,BAL,DST,119.99,133.73,89.47,80.25,,,,,,,,,,,,,,,
184,Eagles D/ST,PHI,DST,107.11,137.61,87.73,78.43,,,,,,,,,,,,,,,
185,Browns D/ST,CLE,DST,103.54,157.61,60.46,52.76,,,,,,,,,,,,,,,
186,Patriots D/ST,NE,DST,100.14,152.97,71.02,58.75,,,,,,,,,,,,,,,
187,Lions D/ST,DET,DST,107.94,154.51,69.93,60.88,,,,,,,,,,,,,,,
188,Chiefs D/ST,KC,DST,100.55,165.78,37.87,29.8,,,,,,,,,,,,,,,
189,Chargers D/ST,LAC,DST,94.84,165.63,50.99,44.95,,,,,,,,,,,,,,,
190,Eddy Pineiro,SF,K,155.23,141.13,84,77.84,ACTIVE,,,,,,,,,,,,6.31,41.91,0.86
191,Harrison Butker,KC,K,148.77,143.66,80.52,72.3,ACTIVE,,,,,,,,,,,,5.98,41.22,1.19
192,Cam Little,JAX,K,146.94,140.71,88.19,81.7,ACTIVE,,,,,,,,,,,,5.91,40.37,0.82
193,Jake Bates,DET,K,146.11,157.14,71.54,64.77,ACTIVE,,,,,,,,,,,,5.39,49.31,1.77
194,Tyler Loop,BAL,K,145.93,165.14,52.53,46.2,ACTIVE,,,,,,,,,,,,5.66,44.44,1.98
195,Cairo Santos,CHI,K,144.32,168.96,34.01,29.23,ACTIVE,,,,,,,,,,,,5.82,39.58,0.95
196,Will Reichard,MIN,K,142.5,167.74,32,27.82,ACTIVE,,,,,,,,,,,,6.02,34.31,0.7
