Pick,Rank,Player,Pos,NFC ADP($),Consensus,Value,ESPN,Value,Sleeper,Value,Yahoo,Value
9.07,101,Dak Prescott,QB,100.0,105.0,5.0,105,5.0,120,20.0,90,-10.0
7.11,102,Bo Nix,QB,100.9,83.7,-17.2,87,-13.9,76,-24.9,88,-12.9
11.07,103,Jayden Higgins,WR,101.7,125.3,23.6,111,9.3,114,12.3,151,49.3
9.04,104,Javonte Williams,RB,106.7,102.3,-4.4,92,-14.7,104,-2.7,111,4.3
8.03,105,David Njoku,TE,107.5,89.7,-17.9,84,-23.5,93,-14.5,92,-15.5
11.09,106,Tyler Warren,TE,109.7,126.3,16.7,129,19.3,96,-13.7,154,44.3
13.06,107,Christian Kirk,WR,110.3,151.0,40.7,169,58.7,140,29.7,144,33.7
10.09,108,Tyjae Spears,RB,110.7,118.3,7.6,116,5.3,126,15.3,113,2.3
8.11,109,Cam Skattebo,RB,111.1,97.7,-13.4,94,-17.1,100,-11.1,99,-12.1
9.02,110,Rhamondre Stevenson,RB,113.3,101.7,-11.6,93,-20.3,115,1.7,97,-16.3
11.03,111,Brandon Aiyuk,WR,115.0,121.7,6.7,140,25.1,105,-10.0,120,5.1
10.12,112,Tank Bigsby,RB,115.1,120.3,5.2,117,1.9,138,22.9,106,-9.1
10.05,113,Darnell Mooney,WR,116.6,114.7,-1.9,108,-8.6,112,-4.6,124,7.4
13.04,114,Luther Burden,WR,116.9,150.0,33.1,157,40.1,135,18.1,158,41.1
13.05,115,Jaydon Blue,RB,117.6,150.0,32.4,161,43.4,130,12.4,159,41.4
12.04,116,Trey Benson,RB,119.3,136.7,17.3,130,10.7,149,29.7,131,11.7
12.09,117,Ray Davis,RB,120.9,144.7,23.8,151,30.1,151,30.1,132,11.1
12.11,118,Isaac Guerendo,RB,122.3,145.3,23.0,149,26.7,144,21.7,143,20.7
11.01,119,Rashid Shaheed,WR,123.2,120.3,-2.9,110,-13.2,129,5.8,122,-1.2
12.12,120,Marvin Mims,WR,123.6,147.7,24.0,154,30.4,133,9.4,156,32.4
9.11,121,Jared Goff,QB,123.8,107.7,-16.1,123,-0.8,91,-32.8,109,-14.8
13.03,122,Tre' Harris,WR,124.5,149.7,25.1,159,34.5,128,3.5,162,37.5
10.03,123,Quinshon Judkins,RB,124.6,112.0,-12.6,131,6.4,71,-53.6,134,9.4
8.07,124,Kyler Murray,QB,125.4,93.0,-32.4,88,-37.4,97,-28.4,94,-31.4
12.07,125,Dylan Sampson,RB,126.1,143.0,16.9,132,5.9,155,28.9,142,15.9
11.02,126,Jake Ferguson,TE,127.1,121.3,-5.8,127,-0.1,123,-4.1,114,-13.1
10.01,127,Tucker Kraft,TE,128.5,109.3,-19.2,113,-15.5,117,-11.5,98,-30.5
11.05,128,Rachaad White,RB,130.3,123.7,-6.6,119,-11.3,131,0.7,121,-9.3
11.10,129,Najee Harris,RB,130.9,127.7,-3.2,135,4.1,108,-22.9,140,9.1
8.05,130,Brock Purdy,QB,132.1,92.3,-39.7,89,-43.1,109,-23.1,79,-53.1
11.06,131,Colston Loveland,TE,132.9,123.7,-9.2,125,-7.9,107,-25.9,139,6.1
9.10,132,Justin Fields,QB,134.9,107.7,-27.2,106,-28.9,132,-2.9,85,-49.9
13.11,133,Hollywood Brown,WR,135.3,153.3,18.0,139,3.7,156,20.7,165,29.7
9.12,134,Caleb Williams,QB,136.1,108.7,-27.4,104,-32.1,121,-15.1,101,-35.1
10.10,135,Dalton Kincaid,TE,136.1,118.7,-17.4,128,-8.1,113,-23.1,115,-21.1
13.12,136,Braelon Allen,RB,136.6,154.7,18.1,148,11.4,167,30.4,149,12.4
12.10,137,Rashod Bateman,WR,137.1,145.0,7.9,156,18.9,146,8.9,133,-4.1
15.02,138,Nick Chubb,RB,138.6,165.0,26.4,189,50.4,136,-2.6,170,31.4
13.02,139,Cedric Tillman,WR,140.3,149.7,9.4,138,-2.3,163,22.7,148,7.7
10.11,140,Drake Maye,QB,140.3,119.7,-20.7,121,-19.3,134,-6.3,104,-36.3
12.05,141,Bhayshul Tuten,RB,140.4,139.0,-1.4,147,6.6,145,4.6,125,-15.4
12.06,142,Kyle Pitts,TE,141.9,139.7,-2.2,142,0.1,124,-17.9,153,11.1
14.06,143,Jaylen Wright,RB,143.1,159.3,16.2,146,2.9,172,28.9,160,16.9
9.03,144,Justin Herbert,QB,143.7,102.0,-41.7,103,-40.7,103,-40.7,100,-43.7
12.01,145,Jerome Ford,RB,145.7,135.3,-10.3,118,-27.7,158,12.3,130,-15.7
12.08,146,Tyler Allgeier,RB,148.3,144.0,-4.3,134,-14.3,157,8.7,141,-7.3
13.08,147,Kyle Williams,WR,148.6,151.7,3.0,155,6.4,139,-9.6,161,12.4
16+,148,DeMario Douglas,WR,149.5,178.0,28.5,177,27.5,178,28.5,179,29.5
12.02,149,Austin Ekeler,RB,150.0,135.3,-14.6,114,-36.0,147,-2.9,145,-4.9
14.02,150,Keenan Allen,WR,150.0,155.7,5.7,107,-43.0,182,32.0,178,28.0
15.04,151,Quentin Johnston,WR,150.6,171.3,20.7,186,35.4,176,25.4,152,1.4
15.08,152,Joshua Palmer,WR,151.6,173.3,21.7,179,27.4,173,21.4,168,16.4
15.05,153,Wan'Dale Robinson,WR,151.8,171.3,19.5,153,1.2,169,17.2,192,40.2
10.08,154,Jordan Love,QB,152.5,118.3,-34.2,122,-30.5,125,-27.5,108,-44.5
14.08,155,Jalen McMillan,WR,155.2,162.3,7.1,158,2.8,160,4.8,169,13.8
11.04,156,Dallas Goedert,TE,155.8,123.3,-32.5,126,-29.8,127,-28.8,117,-38.8
11.08,157,J.J. McCarthy,QB,156.2,126.3,-29.9,124,-32.2,137,-19.2,118,-38.2
14.10,158,Xavier Legette,WR,156.8,163.0,6.2,137,-19.8,165,8.2,187,30.2
11.11,159,C.J. Stroud,QB,157.2,131.7,-25.5,145,-12.2,122,-35.2,128,-29.2
16+,160,Jacory Croskey-Merritt,RB,158.1,198.5,40.4,Undrafted,Undrafted,193,34.9,204,45.9
13.07,161,Trevor Lawrence,QB,158.4,151.7,-6.7,174,15.6,152,-6.4,129,-29.4
11.12,162,Jonnu Smith,TE,159.6,132.0,-27.6,168,8.4,90,-69.6,138,-21.6
15.03,163,Rico Dowdle,RB,162.3,170.7,8.4,198,35.7,159,-3.3,155,-7.3
14.04,164,Roschon Johnson,RB,163.1,158.7,-4.4,160,-3.1,180,17.0,136,-27.1
13.09,165,Adam Thielen,WR,163.4,152.0,-11.4,136,-27.4,153,-10.4,167,3.6
15.06,166,Romeo Doubs,WR,164.5,172.3,7.8,170,5.5,183,18.5,164,-0.5
16+,167,Woody Marks,RB,166.3,181.0,14.7,190,23.7,Undrafted,Undrafted,172,5.7
16+,168,Will Shipley,RB,167.4,178.7,11.3,162,-5.4,200,32.6,174,6.6
16+,169,Blake Corum,RB,169.8,183.3,13.6,188,18.2,187,17.2,175,5.2
16+,170,Brashard Smith,RB,171.1,199.0,27.9,Undrafted,Undrafted,Undrafted,Undrafted,199,27.9
12.03,171,Hunter Henry,TE,171.2,136.7,-34.6,141,-30.2,150,-21.2,119,-52.2
16+,172,Jarquez Hunter,RB,174.0,180.0,6.0,Undrafted,Undrafted,189,15.0,171,-3.0
16+,173,DJ Giddens,RB,175.6,202.0,26.4,Undrafted,Undrafted,Undrafted,Undrafted,202,26.4
14.05,174,Jack Bech,WR,177.5,159.0,-18.5,152,-25.5,148,-29.5,177,-0.5
16+,175,Justice Hill,RB,178.0,179.5,1.5,171,-7.0,188,10.0,Undrafted,Undrafted
14.01,176,Zach Ertz,TE,182.2,155.0,-27.2,167,-15.2,141,-41.2,157,-25.2
15.12,177,Pat Bryant,WR,184.1,176.3,-7.7,164,-20.1,184,-0.1,181,-3.1
14.09,178,Isaiah Likely,TE,184.2,163.0,-21.2,Undrafted,Undrafted,143,-41.2,183,-1.2
15.09,179,Brenton Strange,TE,184.7,173.3,-11.4,182,-2.7,162,-22.7,176,-8.7
14.03,180,MarShawn Lloyd,RB,184.8,158.0,-26.8,150,-34.8,Undrafted,Undrafted,166,-18.8
15.01,181,Bryce Young,QB,185.5,165.0,-20.5,194,8.5,164,-21.5,137,-48.5
14.07,182,Michael Penix,QB,188.9,160.0,-28.9,176,-12.9,154,-34.9,150,-38.9
16+,183,DeAndre Hopkins,WR,190.1,185.0,-5.1,185,-5.1,177,-13.1,193,2.9
15.11,184,Kareem Hunt,RB,190.2,175.5,-14.7,172,-18.2,179,-11.2,Undrafted,Undrafted
14.11,185,Cameron Ward,QB,190.6,163.3,-27.3,175,-15.6,142,-48.6,173,-17.6
16+,186,Kendre Miller,RB,192.6,192.5,-0.1,197,4.4,Undrafted,Undrafted,188,-4.6
15.10,187,Dont'e Thornton,WR,192.9,174.0,-18.9,187,-5.9,161,-31.9,Undrafted,Undrafted
16+,188,Miles Sanders,RB,195.7,205.0,9.3,Undrafted,Undrafted,Undrafted,Undrafted,205,9.3
16+,189,Mason Taylor,TE,200.1,183.5,-16.6,192,-8.1,175,-25.1,Undrafted,Undrafted
16+,190,Elijah Arroyo,TE,200.7,180.5,-20.2,191,-9.7,170,-30.7,Undrafted,Undrafted
16+,191,Anthony Richardson,QB,201.0,191.0,-9.9,196,-4.9,186,-15.0,Undrafted,Undrafted
16+,192,Alec Pierce,WR,201.7,200.5,-1.2,Undrafted,Undrafted,198,-3.7,203,1.3
13.10,193,Tua Tagovailoa,QB,203.3,153.3,-50.0,143,-60.3,171,-32.3,146,-57.3
16+,194,Devin Neal,RB,204.9,191.0,-13.9,Undrafted,Undrafted,191,-13.9,Undrafted,Undrafted
14.12,195,Chig Okonkwo,TE,206.6,164.0,-42.6,165,-41.6,Undrafted,Undrafted,163,-43.6
16+,196,Pat Freiermuth,TE,209.1,178.0,-31.1,Undrafted,Undrafted,174,-35.1,182,-27.1
16+,197,Darius Slayton,WR,211.7,184.0,-27.7,184,-27.7,Undrafted,Undrafted,Undrafted,Undrafted
16+,198,Raheem Mostert,RB,211.9,199.0,-12.9,199,-12.9,Undrafted,Undrafted,Undrafted,Undrafted
16+,199,Michael Wilson,WR,212.0,180.5,-31.5,163,-49.0,Undrafted,Undrafted,198,-14.0
16+,200,Mike Gesicki,TE,213.9,181.7,-32.2,183,-30.9,166,-47.9,196,-17.9
13.01,201,Matthew Stafford,QB,216.2,149.0,-67.2,144,-72.2,168,-48.2,135,-81.2
16+,202,Amari Cooper,WR,216.3,195.0,-21.3,Undrafted,Undrafted,Undrafted,Undrafted,195,-21.3
16+,203,Elic Ayomanor,WR,216.4,201.0,-15.4,Undrafted,Undrafted,Undrafted,Undrafted,201,-15.4
16+,204,Diontae Johnson,WR,219.0,180.0,-39.0,180,-39.0,Undrafted,Undrafted,Undrafted,Undrafted
16+,205,Sam Darnold,QB,219.7,192.5,-27.2,Undrafted,Undrafted,185,-34.7,200,-19.7
16+,206,Jaleel McLaughlin,RB,220.0,184.0,-36.0,Undrafted,Undrafted,Undrafted,Undrafted,184,-36.0
16+,207,Geno Smith,QB,223.7,179.0,-44.7,195,-28.7,195,-28.7,147,-76.7
15.07,208,Tyler Lockett,WR,224.5,173.0,-51.5,173,-51.5,Undrafted,Undrafted,Undrafted,Undrafted
16+,209,Adonai Mitchell,WR,225.0,197.0,-28.0,200,-25.0,Undrafted,Undrafted,194,-31.0
16+,210,Jalen Coker,WR,226.1,191.0,-35.1,Undrafted,Undrafted,Undrafted,Undrafted,191,-35.1
16+,211,Cade Otton,TE,226.3,184.7,-41.6,193,-33.3,181,-45.3,180,-46.3
16+,212,Calvin Austin,WR,226.4,194.0,-32.4,Undrafted,Undrafted,199,-27.4,189,-37.4
16+,213,Theo Johnson,TE,228.4,190.0,-38.4,Undrafted,Undrafted,Undrafted,Undrafted,190,-38.4
16+,214,Aaron Rodgers,QB,233.4,189.5,-43.9,Undrafted,Undrafted,194,-39.4,185,-48.4
16+,215,Devaughn Vele,WR,233.8,197.0,-36.8,Undrafted,Undrafted,Undrafted,Undrafted,197,-36.8
16+,216,Darren Waller,TE,236.9,181.3,-55.6,166,-70.9,192,-44.9,186,-50.9
16+,217,Nick Westbrook-Ikhine,WR,237.0,178.0,-59.0,178,-59.0,Undrafted,Undrafted,Undrafted,Undrafted
16+,218,Dalton Schultz,TE,237.7,190.0,-47.7,Undrafted,Undrafted,190,-47.7,Undrafted,Undrafted
