"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"177",9,"Blake Corum",LAR,"RB60","8","3 out of 5 stars","+17"
"178",9,"Chig Okonkwo",TEN,"TE21","10","3 out of 5 stars","+5"
"179",9,"Isaiah Likely",BAL,"TE22","7","3 out of 5 stars","+12"
"180",9,"Quentin Johnston",LAC,"WR70","12","3 out of 5 stars","+79"
"181",9,"Woody Marks",HOU,"RB61","6","2 out of 5 stars","+32"
"182",9,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-55"
"183",9,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-46"
"184",9,"Cade Otton",TB,"TE23","9","3 out of 5 stars","+5"
"185",9,"Jalen Coker",CAR,"WR71","14","4 out of 5 stars","+92"
"186",9,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-38"
"187",9,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-30"
"188",9,"Mike Gesicki",CIN,"TE24","10","2 out of 5 stars","+14"
"189",9,"Pat Freiermuth",PIT,"TE25","5","3 out of 5 stars","+9"
"190",9,"DeAndre Hopkins",BAL,"WR72","7","3 out of 5 stars","-19"
"191",9,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-21"
"192",9,"Kyle Monangai",CHI,"RB62","5","3 out of 5 stars","+20"
"193",9,"Mason Taylor",NYJ,"TE26","9","3 out of 5 stars","+2"
"194",9,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-2"
"195",9,"Chris Rodriguez Jr.",WAS,"RB63","12","2 out of 5 stars","+50"
"196",9,"Alec Pierce",IND,"WR73","11","4 out of 5 stars","+52"
"197",9,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","-20"
"198",10,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-11"
"199",10,"Will Shipley",PHI,"RB64","9","3 out of 5 stars","+18"
"200",10,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-83"
"201",10,"DJ Giddens",IND,"RB65","11","2 out of 5 stars","+28"
"202",10,"Cameron Dicker",LAC,"K2","12","5 out of 5 stars","-70"
"203",10,"Jake Bates",DET,"K3","8","1 out of 5 stars","-64"
"204",10,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","-30"
"205",10,"Los Angeles Rams",LAR,"DST10","8","3 out of 5 stars","+19"
"206",10,"Justice Hill",BAL,"RB66","7","4 out of 5 stars","+20"
"207",10,"Seattle Seahawks",SEA,"DST11","8","3 out of 5 stars","+12"
"208",10,"Kareem Hunt",KC,"RB67","10","2 out of 5 stars","-46"
"209",10,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-12"
"210",10,"Dameon Pierce",HOU,"RB68","6","2 out of 5 stars","+69"
"211",10,"Green Bay Packers",GB,"DST12","5","2 out of 5 stars","+14"
"212",10,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","+43"
"213",10,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","-37"
"214",10,"MarShawn Lloyd",GB,"RB69","5","4 out of 5 stars","+67"
"215",10,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","-30"
"216",10,"Michael Wilson",ARI,"WR74","8","4 out of 5 stars","+69"
"217",10,"Kendre Miller",NO,"RB70","11","4 out of 5 stars","+26"
"218",10,"Darius Slayton",NYG,"WR75","14","2 out of 5 stars","+54"
"219",10,"Adonai Mitchell",IND,"WR76","11","4 out of 5 stars","+65"
"220",10,"Los Angeles Chargers",LAC,"DST13","12","5 out of 5 stars","+42"
"221",10,"Chris Boswell",PIT,"K7","5","1 out of 5 stars","-54"
"222",10,"Pat Bryant",DEN,"WR77","12","3 out of 5 stars","+16"
"223",10,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+23"
"224",10,"Elic Ayomanor",TEN,"WR78","10","4 out of 5 stars","+28"
"225",10,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-41"
"226",10,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","+6"
"227",10,"Keaton Mitchell",BAL,"RB71","7","4 out of 5 stars","-5"
"228",10,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-35"
"229",10,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","-25"
"230",10,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-29"
"231",10,"Andrei Iosivas",CIN,"WR79","10","3 out of 5 stars","+56"
"232",10,"Jack Bech",LV,"WR80","8","4 out of 5 stars","-9"
"233",10,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","+28"
"234",10,"Jaylin Noel",HOU,"WR81","6","4 out of 5 stars","+34"
"235",10,"Jarquez Hunter",LAR,"RB72","8","3 out of 5 stars","+12"
"236",10,"Calvin Austin III",PIT,"WR82","5","4 out of 5 stars","+69"
"237",10,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+5"
"238",10,"Miles Sanders",DAL,"RB73","10","2 out of 5 stars","+18"
"239",10,"Tyler Lockett",TEN,"WR83","10","4 out of 5 stars","+32"
"240",10,"Elijah Arroyo",SEA,"TE29","8","4 out of 5 stars","-44"
"241",10,"Tahj Brooks",CIN,"RB74","10","4 out of 5 stars","-5"
"242",10,"Juwan Johnson",NO,"TE30","11","3 out of 5 stars","+40"
"243",10,"Anthony Richardson Sr.",IND,"QB31","11","3 out of 5 stars","-3"
"244",10,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-39"
"245",10,"Brashard Smith",KC,"RB75","10","2 out of 5 stars","+5"
"246",10,"Jalen McMillan",TB,"WR84","9","3 out of 5 stars","+7"
"247",10,"Devin Neal",NO,"RB76","11","4 out of 5 stars","+44"
"248",10,"Dyami Brown",JAC,"WR85","8","4 out of 5 stars","+26"
"249",10,"Jalen Royals",KC,"WR86","10","3 out of 5 stars","+40"
"250",10,"Dontayvion Wicks",GB,"WR87","5","2 out of 5 stars","+74"
"251",10,"Roman Wilson",PIT,"WR88","5","4 out of 5 stars","+35"
"252",10,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-13"
"253",10,"Sean Tucker",TB,"RB77","9","3 out of 5 stars","+37"
"254",10,"Matt Gay",WAS,"K12","12","3 out of 5 stars","-40"
"255",10,"Tory Horton",SEA,"WR89","8","3 out of 5 stars","-4"
"256",10,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-48"
"257",10,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-54"
"258",10,"Raheem Mostert",LV,"RB78","8","2 out of 5 stars","+8"
"259",11,"Jaleel McLaughlin",DEN,"RB79","12","2 out of 5 stars","+69"
"260",11,"Dont'e Thornton Jr.",LV,"WR90","8","4 out of 5 stars","-53"
"261",11,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","+41"
"262",11,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","-8"
"263",11,"Tyler Shough",NO,"QB33","11","5 out of 5 stars","+1"
"264",11,"Jason Sanders",MIA,"K14","12","2 out of 5 stars","-6"
"265",11,"Devaughn Vele",NO,"WR91","11","4 out of 5 stars","-"
"266",11,"Spencer Rattler",NO,"QB34","11","5 out of 5 stars","-6"
"267",11,"Isaac TeSlaa",DET,"WR92","8","3 out of 5 stars","-39"
"268",11,"Malik Washington",MIA,"WR93","12","3 out of 5 stars","+49"
"269",11,"Theo Johnson",NYG,"TE32","14","2 out of 5 stars","+11"
"270",11,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars","+5"
"271",11,"Trevor Etienne",CAR,"RB80","14","3 out of 5 stars","+30"
"272",11,"Kenneth Gainwell",PIT,"RB81","5","4 out of 5 stars","+41"
"273",11,"Elijah Mitchell",KC,"RB82","10","2 out of 5 stars","+10"
"274",11,"Brandin Cooks",NO,"WR94","11","4 out of 5 stars","+78"
"275",11,"Ty Johnson",BUF,"RB83","7","4 out of 5 stars","-"
"276",11,"Devin Singletary",NYG,"RB84","14","3 out of 5 stars","-3"
"277",11,"Jalen Tolbert",DAL,"WR95","10","2 out of 5 stars","+83"
"278",11,"Kayshon Boutte",NE,"WR96","14","3 out of 5 stars","+25"
"279",11,"Elijah Moore",BUF,"WR97","7","3 out of 5 stars","-"
"280",11,"Noah Gray",KC,"TE34","10","3 out of 5 stars","+39"
"281",11,"Nick Westbrook-Ikhine",MIA,"WR98","12","3 out of 5 stars","-"
"282",11,"Antonio Gibson",NE,"RB85","14","4 out of 5 stars","+13"
"283",11,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","-18"
"284",11,"Isaiah Davis",NYJ,"RB86","9","5 out of 5 stars","-"
"285",11,"Tre Tucker",LV,"WR99","8","4 out of 5 stars","-18"
"286",11,"Jaxson Dart",NYG,"QB35","14","1 out of 5 stars","-49"
"287",11,"Chicago Bears",CHI,"DST18","5","2 out of 5 stars","-43"
"288",11,"Jalen Nailor",MIN,"WR100","6","2 out of 5 stars","-"
"289",11,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-89"
"290",11,"Jordan James",SF,"RB87","14","3 out of 5 stars","+16"
"291",11,"Amari Cooper",LV,"WR101","8","4 out of 5 stars","-60"
"292",11,"Cleveland Browns",CLE,"DST19","9","3 out of 5 stars","-23"
"293",11,"Diontae Johnson",FA,"WR102","-","-","+29"
"294",11,"Parker Washington",JAC,"WR103","8","4 out of 5 stars","-"
"295",11,"Tim Patrick",JAC,"WR104","8","4 out of 5 stars","-"
"296",11,"Emanuel Wilson",GB,"RB88","5","4 out of 5 stars","+16"
"297",11,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-77"
"298",11,"Chris Brooks",GB,"RB89","5","4 out of 5 stars","-"
"299",11,"Will Reichard",MIN,"K17","6","0 out of 5 stars","-78"
"300",11,"Terrance Ferguson",LAR,"TE36","8","4 out of 5 stars","-4"
"301",11,"Luke McCaffrey",WAS,"WR105","12","3 out of 5 stars","-"
"302",11,"Khalil Herbert",FA,"RB90","-","-","-"
"303",11,"Ty Chandler",MIN,"RB91","6","3 out of 5 stars","-"
"304",11,"Audric Estime",FA,"RB92","-","-","+53"
"305",11,"Christian Watson",GB,"WR106","5","2 out of 5 stars","+40"
"306",11,"Tyler Loop",BAL,"K18","7","2 out of 5 stars","-107"
"307",12,"Taysom Hill",NO,"TE37","11","3 out of 5 stars","+20"
"308",12,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+47"
"309",12,"Kimani Vidal",LAC,"RB93","12","2 out of 5 stars","-"
"310",12,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-76"
"311",12,"Jermaine Burton",CIN,"WR107","10","3 out of 5 stars","-"
"312",12,"Xavier Restrepo",TEN,"WR108","10","4 out of 5 stars","+24"
"313",12,"Phil Mafah",DAL,"RB94","10","2 out of 5 stars","-"
"314",12,"Troy Franklin",DEN,"WR109","12","3 out of 5 stars","-51"
"315",12,"Sincere McCormick",FA,"RB95","-","-","-"
"316",12,"Zamir White",LV,"RB96","8","2 out of 5 stars","-"
"317",12,"Ray-Ray McCloud III",ATL,"WR110","5","3 out of 5 stars","-29"
"318",12,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-69"
"319",12,"Damien Martinez",SEA,"RB97","8","3 out of 5 stars","-"
"320",12,"Tez Johnson",TB,"WR111","9","3 out of 5 stars","-"
"321",12,"Tutu Atwell",LAR,"WR112","8","3 out of 5 stars","-"
"322",12,"Tyler Higbee",LAR,"TE39","8","4 out of 5 stars","-24"
"323",12,"Oronde Gadsden II",LAC,"TE40","12","3 out of 5 stars","+16"
"324",12,"Samaje Perine",CIN,"RB98","10","4 out of 5 stars","-"
"325",12,"Shedeur Sanders",CLE,"QB36","9","2 out of 5 stars","-119"
"326",12,"Raheim Sanders",CLE,"RB99","9","4 out of 5 stars","-"
"327",12,"Jason Myers",SEA,"K19","8","5 out of 5 stars","-"
"328",12,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+20"
"329",12,"A.J. Dillon",PHI,"RB100","9","3 out of 5 stars","-"
"330",12,"Tyler Conklin",LAC,"TE42","12","3 out of 5 stars","-38"
"331",12,"Josh Reynolds",NYJ,"WR113","9","4 out of 5 stars","-"
"332",12,"Will Dissly",LAC,"TE43","12","3 out of 5 stars","-"
"333",12,"Jordan Whittington",LAR,"WR114","8","3 out of 5 stars","+13"
"334",12,"KaVontae Turpin",DAL,"WR115","10","2 out of 5 stars","-"
"335",12,"Noah Brown",WAS,"WR116","12","3 out of 5 stars","-"
"336",12,"Miami Dolphins",MIA,"DST22","12","2 out of 5 stars","-103"
"337",12,"Gabe Davis",FA,"WR117","-","-","-"
"338",12,"Zack Moss",FA,"RB101","-","-","-"
"339",12,"Michael Mayer",LV,"TE44","8","2 out of 5 stars","-"
"340",12,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-14"
"341",12,"Jaylin Lane",WAS,"WR118","12","3 out of 5 stars","-"
"342",12,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-131"
"343",12,"Dawson Knox",BUF,"TE45","7","3 out of 5 stars","-"
"344",12,"KeAndre Lambert-Smith",LAC,"WR119","12","3 out of 5 stars","-"
"345",12,"AJ Barner",SEA,"TE46","8","4 out of 5 stars","-"
"346",12,"Cam Little",JAC,"K20","8","5 out of 5 stars","-156"
"347",12,"Demarcus Robinson",SF,"WR120","14","4 out of 5 stars","-"
"348",12,"Brandon McManus",GB,"K21","5","3 out of 5 stars","-118"
"349",12,"John Metchie III",PHI,"WR121","9","3 out of 5 stars","-"
"350",12,"Tai Felton",MIN,"WR122","6","2 out of 5 stars","-"
"351",12,"Isaiah Bond",CLE,"WR123","9","2 out of 5 stars","-31"
"352",12,"Marquez Valdes-Scantling",SF,"WR124","14","4 out of 5 stars","-"
"353",12,"Olamide Zaccheaus",CHI,"WR125","5","2 out of 5 stars","-75"
