"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"195",8,"Jaydon Blue",DAL,"RB63","14","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"196",8,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-70"
"197",8,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-81"
"198",8,"Cade Otton",TB,"TE27","10","2 out of 5","4 out of 5","2 out of 5 stars","+52"
"199",8,"Pat Freiermuth",PIT,"TE28","9","3 out of 5","3 out of 5","2 out of 5 stars","-6"
"200",8,"Aaron Rodgers",PIT,"QB29","9","1 out of 5","4 out of 5","2 out of 5 stars","-26"
"201",8,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-63"
"202",8,"Rashod Bateman",BAL,"WR77","13","3 out of 5","4 out of 5","4 out of 5 stars","-"
"203",8,"Jacksonville Jaguars",JAC,"DST6","7","-","-","3 out of 5 stars","-17"
"204",8,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-34"
"205",8,"Kaytron Allen",WAS,"RB64","7","2 out of 5","4 out of 5","4 out of 5 stars","+32"
"206",8,"Pittsburgh Steelers",PIT,"DST8","9","-","-","5 out of 5 stars","-16"
"207",8,"Brandon Aubrey",DAL,"K1","14","4 out of 5","1 out of 5","2 out of 5 stars","-92"
"208",8,"Los Angeles Chargers",LAC,"DST9","7","-","-","3 out of 5 stars","-14"
"209",8,"Isaac TeSlaa",DET,"WR78","6","3 out of 5","4 out of 5","4 out of 5 stars","-10"
"210",8,"Minnesota Vikings",MIN,"DST10","6","-","-","1 out of 5 stars","-30"
"211",8,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-74"
"212",8,"Emanuel Wilson",SEA,"RB65","11","2 out of 5","4 out of 5","4 out of 5 stars","+76"
"213",8,"James Conner",ARI,"RB66","14","2 out of 5","4 out of 5","2 out of 5 stars","-22"
"214",8,"George Holani",SEA,"RB67","11","3 out of 5","4 out of 5","4 out of 5 stars","+56"
"215",8,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-81"
"216",8,"Cooper Kupp",SEA,"WR79","11","3 out of 5","4 out of 5","3 out of 5 stars","-21"
