Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
181.0,Tyler Allgeier,RB,102.75,90.60,12.15
182.0,Donte Thornton,WR,82.10,63.80,18.30
182.5,Jack Bech,WR,74.50,88.40,-13.90
183.3,Jaylen Wright,RB,105.00,91.90,13.10
184.5,Rico Dowdle,RB,94.60,83.30,11.30
185.0,Isaiah Likely,TE,84.50,97.40,-12.90
187.0,Sam Darnold,QB,232.72,254.50,-21.78
187.5,Mike Gesicki,TE,99.50,95.40,4.10
187.7,Ray Davis,RB,110.60,88.80,21.80
192.7,Cade Otton,TE,87.20,102.20,-15.00
193.0,Pat Freiermuth,TE,88.50,91.20,-2.70
194.5,Blake Corum,RB,42.20,60.00,-17.80
195.0,Cedric Tillman,WR,117.30,120.40,-3.10
196.0,Chig Okonkwo,TE,112.60,95.20,17.40
196.5,Anthony Richardson,QB,130.70,58.40,72.30
197.0,Geno Smith,QB,243.52,261.60,-18.08
198.0,Xavier Legette,WR,92.55,114.20,-21.65
202.0,Mason Taylor,TE,97.50,87.30,10.20
203.3,Brenton Strange,TE,95.00,101.40,-6.40
204.7,WanDale Robinson,WR,108.30,116.60,-8.30
205.0,Darren Waller,TE,95.00,98.10,-3.10
211.5,Joshua Palmer,WR,123.60,100.90,22.70
216.0,Elic Ayomanor,WR,81.80,61.70,20.10
219.5,DeMario Douglas,WR,113.00,108.40,4.60
221.5,Jaxson Dart,QB,59.00,56.70,2.30
222.0,Tyler Lockett,WR,68.40,103.20,-34.80
224.0,Cole Kmet,TE,46.00,57.10,-11.10
225.0,Pat Bryant,WR,75.80,65.10,10.70
225.5,Woody Marks,RB,51.30,73.60,-22.30
226.0,Justice Hill,RB,71.40,70.30,1.10
226.5,Romeo Doubs,WR,93.50,104.80,-11.30
226.5,Dalton Schultz,TE,82.00,93.80,-11.80
228.0,Roschon Johnson,RB,79.70,78.10,1.60
228.0,Isaac TeSlaa,WR,47.80,27.70,20.10
228.5,Will Shipley,RB,66.20,40.40,25.80
229.0,Dawson Knox,TE,46.20,46.30,-0.10
234.0,Quentin Johnston,WR,67.70,88.20,-20.50
236.0,Ollie Gordon,RB,47.90,55.70,-7.80
236.0,Kirk Cousins,QB,12.44,7.30,5.14
237.0,Tory Horton,WR,68.70,70.90,-2.20
237.0,Jarquez Hunter,RB,47.00,48.00,-1.00
239.0,Jahan Dotson,WR,48.50,32.80,15.70
240.0,Keaton Mitchell,RB,60.80,58.50,2.30
240.0,Zamir White,RB,19.90,37.80,-17.90
240.0,Brashard Smith,RB,46.20,23.10,23.10
240.5,Kyle Monangai,RB,63.00,53.50,9.50
241.0,Taysom Hill,TE,17.00,14.40,2.60
242.0,Noah Gray,TE,65.00,61.10,3.90
242.0,Jaleel McLaughlin,RB,29.80,43.40,-13.60
243.0,Russell Wilson,QB,180.70,195.50,-14.80
243.0,Theo Johnson,TE,87.50,84.80,2.70
244.0,DJ Giddens,RB,70.10,34.10,36.00
244.5,Tahj Brooks,RB,63.00,48.70,14.30
246.0,Raheem Mostert,RB,51.20,68.20,-17.00
246.0,Hunter Renfrow,WR,6.00,16.10,-10.10
247.0,Joe Flacco,QB,133.30,152.00,-18.70
247.0,Miles Sanders,RB,80.40,70.40,10.00
247.0,Kendre Miller,RB,49.00,66.20,-17.20
248.0,Alec Pierce,WR,82.00,90.20,-8.20
248.5,Adonai Mitchell,WR,65.80,65.00,0.80
249.0,Roman Wilson,WR,71.20,52.20,19.00
249.0,Jalen Milroe,QB,21.70,23.00,-1.30
250.0,Daniel Jones,QB,172.64,229.20,-56.56
250.0,Kenneth Walker,RB,165.55,200.30,-34.75
250.0,Tyler Shough,QB,156.96,182.30,-25.34
250.0,Michael Wilson,WR,100.20,98.30,1.90
250.0,Calvin Austin,WR,70.90,93.50,-22.60
250.0,Juwan Johnson,TE,93.50,91.10,2.40
250.0,RayRay McCloud,WR,61.30,90.10,-28.80
250.0,Tyler Higbee,TE,73.00,87.00,-14.00
250.0,Darius Slayton,WR,97.50,86.70,10.80
250.0,Dyami Brown,WR,105.60,86.70,18.90
250.0,Tutu Atwell,WR,73.80,84.80,-11.00
250.0,Josh Reynolds,WR,77.00,83.40,-6.40
250.0,Spencer Rattler,QB,106.38,82.70,23.68
250.0,Nick WestbrookIkhine,WR,72.80,80.40,-7.60
250.0,Jalen Tolbert,WR,67.80,78.70,-10.90
250.0,MarShawn Lloyd,RB,29.20,75.90,-46.70
250.0,Andrei Iosivas,WR,84.00,75.50,8.50
250.0,Brandin Cooks,WR,43.10,74.50,-31.40
250.0,Jalen Nailor,WR,69.90,73.60,-3.70
250.0,Tre Tucker,WR,41.70,73.50,-31.80
250.0,Diontae Johnson,WR,88.20,72.90,15.30
250.0,Jordan Whittington,WR,86.50,72.70,13.80
250.0,Will Dissly,TE,50.50,72.30,-21.80
250.0,Noah Fant,TE,55.00,71.20,-16.20
250.0,JaTavion Sanders,TE,88.00,70.40,17.60
250.0,Jalen Coker,WR,81.80,69.70,12.10
250.0,Troy Franklin,WR,78.30,69.50,8.80
250.0,Noah Brown,WR,60.50,67.80,-7.30
250.0,Marquez ValdesScantling,WR,59.20,66.70,-7.50
